id,player_name
477,B.J. Johnson
478,Jaylen Hoard
479,Mario Hezonja
480,Zach Collins
481,Nassir Little
482,Wenyen Gabriel
483,Noah Vonleh
484,Goga Bitadze
485,Alize Johnson
486,T.J. Leaf
487,Jonathan Isaac
488,Džanan Musa
489,Jeremiah Martin
490,Justin Anderson
491,Lance Thomas
492,Donta Hall
493,Tyler Cook
494,Kristaps Porziņģis
495,Kyle O'Quinn
496,Norvel Pelle
497,Marial Shayok
498,Nigel Williams-Goss
499,Deonte Burton
500,Anthony Tolliver
501,Marko Guduric
502,Kyle Alexander
503,Brian Bowen
504,Naz Mitrou-Long
505,Devon Hall
506,Kevin Hervey
507,Dewan Hernandez
508,Oshae Brissett
509,Frank Jackson
510,Zylan Cheatham
511,Johnathan Williams
512,Jarrod Uthoff
513,Jerian Grant
514,Admiral Schofield
515,Ian Mahinmi
516,Marco Belinelli
517,Quinndary Weatherspoon
518,Derrick White
519,Justin Wright-Foreman
520,DaQuan Jeffries
521,Yogi Ferrell
522,Corey Brewer
523,Devontae Cacok
524,Elie Okobo
525,Cheick Diallo
526,Ty Jerome
527,Shabazz Napier
528,Tyler Zeller
529,Jamal Crawford
530,Jaren Jackson
531,Brandon Knight
532,Tony Snell
533,Jordan McRae
534,Khyri Thomas
535,Courtney Lee
536,Joe Chealey
537,Taj Gibson
538,Dewayne Dedmon
539,Vince Carter
540,Treveon Graham
541,Matthew Dellavedova
542,Matt Mooney
543,Sheldon Mac
544,Ante Žižić
545,Dragan Bender
546,Ky Bowman
547,Chasson Randle
548,Gary Payton
549,Trevor Ariza
550,Caleb Swanigan
551,Wilson Chandler
552,Nicolas Claxton
553,Jaylen Nowell
554,Evan Turner
555,Thabo Sefolosha
556,Patrick McCaw
557,John Henson
558,Allonzo Trier
559,Sir'Dominic Pointer
560,Draymond Green
561,Kevin Porter
562,Louis King
563,Derrick Walton
564,Jordan Bell
565,Jacob Evans
566,Dusty Hannahs
567,Alen Smailagić
568,Jeremy Lamb
569,Jonah Bolden
570,Johnathan Motley
571,Allen Crabbe
572,J.P. Macura
573,Malik Newman
574,Jeremy Pargo
575,Zach Norvell
576,Tariq Owens
577,William Howard
578,Ryan Broekhoff
579,Charlie Brown
580,Zhaire Smith
581,Kadeem Allen
582,Omari Spellman
583,Amile Jefferson
584,Tim Frazier
585,Isaiah Thomas
586,Eric Mika
587,Kris Dunn
588,Justise Winslow
589,Justin Patton
590,Josh Gray
591,Josh Magette
592,Shamorie Ponds
593,Levi Randolph
594,Justin Robinson
595,Chandler Parsons
596,Henry Ellenson
597,Skal Labissière
598,Daryl Macon
599,Iman Shumpert
600,Tyrone Wallace
601,Al-Farouq Aminu
602,C.J. Miles
603,Stanton Kidd
604,Ryan Anderson
605,Pau Gasol
606,Jodie Meeks
607,Jeremy Lin
608,Klay Thompson
609,Shaun Livingston
610,Andrew Bogut
611,Jonas Jerebko
612,Eric Moreland
613,Nikola Mirotić
614,Greg Monroe
615,Amir Johnson
616,Jonathon Simmons
617,Gerald Green
618,Nenê Hilário
619,Kenneth Faried
620,Guerschon Yabusele
621,Dante Cunningham
622,Donatas Motiejūnas
623,Quincy Pondexter
624,Ekpe Udoh
625,Raymond Felton
626,Jarell Martin
627,José Calderón
628,Zaza Pachulia
629,Jonathan Gibson
630,Darren Collison
631,Tyreke Evans
632,Jon Leuer
633,Devin Harris
634,Dirk Nowitzki
635,Salah Mejri
636,Troy Caupain
637,Tony Parker
638,Shelvin Mack
639,Cameron Reynolds
640,C.J. Williams
641,Jared Terrell
642,Mitch Creek
643,Jawun Evans
644,Bonzie Colson
645,Troy Williams
646,Tyler Cavanaugh
647,John Jenkins
648,Isaiah Hicks
649,Billy Garrett
650,Wayne Selden
651,Walt Lemon
652,Brandon Sampson
653,Rawle Alkins
654,Antonio Blakeney
655,Haywood Highsmith
656,Dwyane Wade
657,Yante Maten
658,Alan Williams
659,Marcus Derrickson
660,Ivan Rabb
661,Tyler Dorsey
662,Julian Washburn
663,Davon Reed
664,Taurean Waller-Prince
665,Deyonta Davis
666,Isaac Humphries
667,R.J. Hunter
668,Sam Dekker
669,Devin Robinson
670,Jordan Loyd
671,Jerryd Bayless
672,Ray Spalding
673,Jimmer Fredette
674,Ian Clark
675,Dairis Bertāns
676,Jemerrio Jones
677,Nik Stauskas
678,Channing Frye
679,Deng Adel
680,Tyler Lydon
681,Thomas Welsh
682,Lance Stephenson
683,Ángel Delgado
684,Wesley Johnson
685,Kosta Koufos
686,Cody Demps
687,Scott Machado
688,Andre Ingram
689,Jason Smith
690,Terrence Jones
691,Vince Edwards
692,Donte Grantham
693,Isaiah Briscoe
694,Alex Poythress
695,Trevon Duval
696,Isaiah Canaan
697,Luol Deng
698,Jordan Sibert
699,Tahjere McCall
700,Emanuel Terry
701,Scotty Hopson
702,Richard Solomon
703,Jaron Blossomgame
704,Álex Abrines
705,Wade Baldwin
706,Michael Beasley
707,Marcin Gortat
708,Daniel Hamilton
709,Kobi Simmons
710,Kalin Lucas
711,Quincy Acy
712,Omri Casspi
713,Malachi Richardson
714,James Nunnally
715,Jalen Jones
716,Ron Baker
717,Lorenzo Brown
718,Demetrius Jackson
719,Miles Plumlee
720,MarShon Brooks
721,Miloš Teodosić
722,Nick Young
723,Andrew Harrison
724,Trevon Bluiett
725,Keenan Evans
726,Jaylen Morris
727,Okaro White
728,DeVaughn Akoon-Purcell
729,Zach Lofton
730,George King
731,D.J. Stephens
732,Ike Anigbogu
733,Tyler Davis
734,Zhou Qi
735,Tyler Ulis
736,John Holland
737,David West
738,Joe Johnson
739,Aaron Jackson
740,Tarik Black
741,Kendrick Perkins
742,Shane Larkin
743,Emeka Okafor
744,DeAndre Liggins
745,Jordan Crawford
746,David Stockton
747,Lucas Nogueira
748,Trevor Booker
749,Joe Young
750,Al Jefferson
751,Jason Terry
752,Shabazz Muhammad
753,Brandon Jennings
754,Josh Huestis
755,Dakari Johnson
756,Nick Collison
757,Ty Lawson
758,Ramon Sessions
759,Chris McCullough
760,Marcus Georges-Hunt
761,Aaron Brooks
762,Cole Aldrich
763,Manu Ginóbili
764,Joffrey Lauvergne
765,Luke Babbitt
766,Brandon Paul
767,Chinanu Onuaku
768,Nigel Hayes
769,Jack Cooley
770,Zach Randolph
771,Richard Jefferson
772,Darrell Arthur
773,Charles Cooke
774,Kay Felder
775,Reggie Hearn
776,Jameer Nelson
777,Dwight Buycks
778,Sean Kilpatrick
779,Ömer Aşık
780,Rodney Purvis
781,Jamel Artis
782,Arron Afflalo
783,Marreese Speights
784,Jarrett Jack
785,London Perrantes
786,Tyler Ennis
787,Travis Wear
788,Milton Doyle
789,James Webb
790,Timofey Mozgov
791,Jabari Bird
792,Omari Johnson
793,Mario Chalmers
794,Myke Henry
795,Alec Peters
796,Aaron Harrison
797,Kyle Collinsworth
798,Julyan Stone
799,Marcus Paige
800,Isaiah Taylor
801,Andrew White
802,Tim Quarterman
803,Jeremy Evans
804,Marshall Plumlee
805,Xavier Munford
806,Georgios Papagiannis
807,Marquis Teague
808,Larry Drew
809,Darrun Hilliard
810,Jordan Mickey
811,Xavier Silas
812,Anthony Brown
813,Brice Johnson
814,Paul Zipser
815,Briante Weber
816,Mangok Mathiang
817,James Young
818,Markel Brown
819,Erik McCree
820,Jameel Warney
821,Isaiah Whitehead
822,Derrick Williams
823,Xavier Rathan-Mayes
824,Matt Costello
825,Malcolm Delaney
826,Jarell Eddie
827,Rashad Vaughn
828,Brandan Wright
829,Kyle Singler
830,Trey McKinney-Jones
831,Ben Moore
832,Mike James
833,Josh McRoberts
834,Willie Reed
835,Johnny O'Bryant
836,Tony Allen
837,Luis Montero
838,Damien Wilkins
839,James Michael McAdoo
840,Bobby Brown
841,Jacob Wiley
842,Vander Blue
843,Jacob Pullen
844,Matt Williams
845,Jamil Wilson
846,Adreian Payne
847,Joel Bolomboy
848,Vince Hunter
849,Nate Wolters
850,Jeff Withey
851,A.J. Hammons
852,Yakuba Ouattara
853,Nicolás Brussino
854,Gian Clavell
855,Josh Smith
856,Mindaugas Kuzminskas
857,Mirza Teletović
858,Carrick Felix
859,Michael Young
860,Deron Williams
861,Dahntay Jones
862,James Jones
863,Matt Barnes
864,Joel Anthony
865,David Lee
866,Kyle Wiltjer
867,Boris Diaw
868,Daniel Ochefu
869,Paul Pierce
870,Brandon Bass
871,Alan Anderson
872,Mike Dunleavy
873,Kris Humphries
874,Anthony Morrow
875,Spencer Hawes
876,Norris Cole
877,Kevin Séraphin
878,Monta Ellis
879,Lavoy Allen
880,Rakeem Christmas
881,Diamond Stone
882,Semaj Christon
883,Alexis Ajinça
884,Axel Toupane
885,Edy Tavares
886,Thomas Robinson
887,Metta World Peace
888,Mike Miller
889,Roy Hibbert
890,Ryan Kelly
891,Gerald Henderson
892,Tiago Splitter
893,Shawn Long
894,Sergio Rodríguez
895,Maurice Ndour
896,Sasha Vujačić
897,Brandon Rush
898,Jordan Hill
899,Justin Hamilton
900,Randy Foye
901,Archie Goodwin
902,K.J. McDaniels
903,Andrew Nicholson
904,Beno Udrih
905,Patricio Garino
906,Stephen Zimmerman
907,Damjan Rudež
908,Brian Roberts
909,Ronnie Price
910,Elijah Millsap
911,Michael Gbinije
912,Larry Sanders
913,C.J. Watson
914,C.J. Wilcox
915,Leandro Barbosa
916,Manny Harris
917,Rodney Stuckey
918,Toney Douglas
919,Hollis Thompson
920,Justin Harper
921,Ben Bentil
922,Reggie Williams
923,Luis Scola
924,Lamar Patterson
925,Mike Tobey
926,Ray McCallum
927,Marcus Thornton
928,Marcelo Huertas
929,Jared Sullinger
930,Anderson Varejão
931,Steve Novak
932,Pierre Jackson
933,Gary Neal
934,Alonzo Gee
935,Anthony Bennett
936,John Lucas III
937,Arinze Onuaku
938,Nicolás Laprovíttola
939,Chris Andersen
940,Jarnell Stokes
941,Jordan Farmar
942,Greivis Vásquez
943,Mo Williams
944,Festus Ezeli
945,Nazr Mohammed
946,Jason Thompson
