id,matchup_id,game_id,result,team_score,opponent_score,point_diff
329,167,165,L,115,116,-1
330,168,165,W,116,115,1
331,87,166,W,124,111,13
332,88,166,L,111,124,-13
333,169,167,L,105,123,-18
334,170,167,W,123,105,18
335,171,168,W,130,117,13
336,172,168,L,117,130,-13
337,24,169,W,122,107,15
338,23,169,L,107,122,-15
339,173,170,W,134,131,3
340,174,170,L,131,134,-3
341,175,171,W,126,113,13
342,176,171,L,113,126,-13
343,177,172,L,106,112,-6
344,178,172,W,112,106,6
345,179,173,W,108,96,12
346,180,173,L,96,108,-12
347,139,174,L,92,114,-22
348,140,174,W,114,92,22
349,127,175,L,121,124,-3
350,128,175,W,124,121,3
351,181,176,L,101,128,-27
352,182,176,W,128,101,27
353,183,177,W,122,114,8
354,184,177,L,114,122,-8
355,185,178,W,114,106,8
356,186,178,L,106,114,-8
357,187,179,L,103,121,-18
358,188,179,W,121,103,18
359,189,180,L,99,108,-9
360,190,180,W,108,99,9
361,191,181,L,121,124,-3
362,192,181,W,124,121,3
363,193,182,W,129,120,9
364,194,182,L,120,129,-9
365,8,183,W,129,112,17
366,7,183,L,112,129,-17
367,195,184,L,119,122,-3
368,196,184,W,122,119,3
369,55,185,W,122,113,9
370,56,185,L,113,122,-9
371,18,186,W,122,117,5
372,17,186,L,117,122,-5
373,197,187,L,132,136,-4
374,198,187,W,136,132,4
375,135,188,L,132,134,-2
376,136,188,W,134,132,2
377,199,189,L,111,116,-5
378,200,189,W,116,111,5
379,201,190,W,119,112,7
380,202,190,L,112,119,-7
381,158,191,L,111,119,-8
382,157,191,W,119,111,8
383,203,192,L,107,118,-11
384,204,192,W,118,107,11
385,131,193,W,122,100,22
386,132,193,L,100,122,-22
387,205,194,L,106,119,-13
388,206,194,W,119,106,13
389,207,195,L,92,121,-29
390,208,195,W,121,92,29
391,4,196,L,101,108,-7
392,3,196,W,108,101,7
393,209,197,W,125,115,10
394,210,197,L,115,125,-10
395,66,198,W,126,111,15
396,65,198,L,111,126,-15
397,211,199,L,99,114,-15
398,212,199,W,114,99,15
399,26,200,L,116,130,-14
400,25,200,W,130,116,14
401,130,201,L,97,113,-16
402,129,201,W,113,97,16
403,177,202,L,125,140,-15
404,178,202,W,140,125,15
405,91,203,L,115,149,-34
406,92,203,W,149,115,34
407,213,204,W,109,99,10
408,214,204,L,99,109,-10
409,215,205,L,115,124,-9
410,216,205,W,124,115,9
411,106,206,W,107,98,9
412,105,206,L,98,107,-9
413,217,207,W,105,86,19
414,218,207,L,86,105,-19
415,219,208,W,132,126,6
416,220,208,L,126,132,-6
417,73,209,L,102,110,-8
418,74,209,W,110,102,8
419,221,210,W,114,110,4
420,222,210,L,110,114,-4
421,223,211,W,117,115,2
422,224,211,L,115,117,-2
423,225,212,L,109,120,-11
424,226,212,W,120,109,11
425,227,213,W,119,116,3
426,228,213,L,116,119,-3
427,125,214,L,106,112,-6
428,126,214,W,112,106,6
429,229,215,W,116,108,8
430,230,215,L,108,116,-8
431,231,216,W,107,103,4
432,232,216,L,103,107,-4
433,233,217,L,99,109,-10
434,234,217,W,109,99,10
435,235,218,L,130,132,-2
436,236,218,W,132,130,2
437,237,219,W,111,100,11
438,238,219,L,100,111,-11
439,239,220,W,121,113,8
440,240,220,L,113,121,-8
441,241,221,L,116,120,-4
442,242,221,W,120,116,4
443,243,222,L,110,118,-8
444,244,222,W,118,110,8
445,245,223,L,116,132,-16
446,246,223,W,132,116,16
447,247,224,L,124,128,-4
448,248,224,W,128,124,4
449,109,225,W,108,106,2
450,110,225,L,106,108,-2
451,117,226,L,115,117,-2
452,118,226,W,117,115,2
453,51,227,L,94,110,-16
454,52,227,W,110,94,16
455,249,228,L,121,127,-6
456,250,228,W,127,121,6
457,251,229,L,92,107,-15
458,252,229,W,107,92,15
459,253,230,L,103,126,-23
460,254,230,W,126,103,23
461,255,231,W,125,105,20
462,256,231,L,105,125,-20
463,257,232,W,125,112,13
464,258,232,L,112,125,-13
465,145,233,L,135,140,-5
466,146,233,W,140,135,5
467,259,234,W,153,149,4
468,260,234,L,149,153,-4
469,100,235,L,112,119,-7
470,99,235,W,119,112,7
471,180,236,W,128,118,10
472,179,236,L,118,128,-10
473,261,237,L,120,129,-9
474,262,237,W,129,120,9
475,119,238,L,101,103,-2
476,120,238,W,103,101,2
477,263,239,W,106,104,2
478,264,239,L,104,106,-2
479,265,240,L,106,124,-18
480,266,240,W,124,106,18
481,267,241,L,97,113,-16
482,268,241,W,113,97,16
483,269,242,W,109,98,11
484,270,242,L,98,109,-11
485,271,243,W,136,131,5
486,272,243,L,131,136,-5
487,41,244,W,114,111,3
488,42,244,L,111,114,-3
489,273,245,L,103,108,-5
490,274,245,W,108,103,5
491,275,246,W,131,107,24
