id,team,opponent
297,Chicago Bulls,Brooklyn Nets
298,Brooklyn Nets,Chicago Bulls
299,Oklahoma City Thunder,Boston Celtics
300,Boston Celtics,Oklahoma City Thunder
301,San Antonio Spurs,Cleveland Cavaliers
302,Cleveland Cavaliers,San Antonio Spurs
303,New Orleans Pelicans,Minnesota Timberwolves
304,Minnesota Timberwolves,New Orleans Pelicans
305,Toronto Raptors,Sacramento Kings
306,Sacramento Kings,Toronto Raptors
307,Miami Heat,Washington Wizards
308,Washington Wizards,Miami Heat
309,Milwaukee Bucks,Phoenix Suns
310,Phoenix Suns,Milwaukee Bucks
311,Indiana Pacers,Dallas Mavericks
312,Dallas Mavericks,Indiana Pacers
313,Orlando Magic,Houston Rockets
314,Houston Rockets,Orlando Magic
315,Sacramento Kings,Portland Trail Blazers
316,Portland Trail Blazers,Sacramento Kings
317,Houston Rockets,Charlotte Hornets
318,Charlotte Hornets,Houston Rockets
319,Denver Nuggets,Cleveland Cavaliers
320,Cleveland Cavaliers,Denver Nuggets
321,Utah Jazz,Detroit Pistons
322,Detroit Pistons,Utah Jazz
323,Philadelphia 76ers,Golden State Warriors
324,Golden State Warriors,Philadelphia 76ers
325,Atlanta Hawks,Washington Wizards
326,Washington Wizards,Atlanta Hawks
327,San Antonio Spurs,Brooklyn Nets
328,Brooklyn Nets,San Antonio Spurs
329,Oklahoma City Thunder,New York Knicks
330,New York Knicks,Oklahoma City Thunder
331,Orlando Magic,Minnesota Timberwolves
332,Minnesota Timberwolves,Orlando Magic
333,Memphis Grizzlies,Dallas Mavericks
334,Dallas Mavericks,Memphis Grizzlies
335,Utah Jazz,Boston Celtics
336,Boston Celtics,Utah Jazz
337,Milwaukee Bucks,Los Angeles Lakers
338,Los Angeles Lakers,Milwaukee Bucks
339,Denver Nuggets,Charlotte Hornets
340,Charlotte Hornets,Denver Nuggets
341,Philadelphia 76ers,Sacramento Kings
342,Sacramento Kings,Philadelphia 76ers
343,Toronto Raptors,Golden State Warriors
344,Golden State Warriors,Toronto Raptors
345,Los Angeles Clippers,Houston Rockets
346,Houston Rockets,Los Angeles Clippers
347,Utah Jazz,New York Knicks
348,New York Knicks,Utah Jazz
349,Chicago Bulls,Minnesota Timberwolves
350,Minnesota Timberwolves,Chicago Bulls
351,Washington Wizards,Portland Trail Blazers
352,Portland Trail Blazers,Washington Wizards
353,Boston Celtics,Cleveland Cavaliers
354,Cleveland Cavaliers,Boston Celtics
355,Oklahoma City Thunder,Detroit Pistons
356,Detroit Pistons,Oklahoma City Thunder
357,New Orleans Pelicans,Dallas Mavericks
358,Dallas Mavericks,New Orleans Pelicans
359,Indiana Pacers,Milwaukee Bucks
360,Milwaukee Bucks,Indiana Pacers
361,Washington Wizards,Sacramento Kings
362,Sacramento Kings,Washington Wizards
363,Toronto Raptors,Phoenix Suns
364,Phoenix Suns,Toronto Raptors
365,San Antonio Spurs,Charlotte Hornets
366,Charlotte Hornets,San Antonio Spurs
367,Philadelphia 76ers,Los Angeles Lakers
368,Los Angeles Lakers,Philadelphia 76ers
369,Golden State Warriors,Denver Nuggets
370,Denver Nuggets,Golden State Warriors
371,Houston Rockets,New York Knicks
372,New York Knicks,Houston Rockets
373,Portland Trail Blazers,Orlando Magic
374,Orlando Magic,Portland Trail Blazers
375,Utah Jazz,Cleveland Cavaliers
376,Cleveland Cavaliers,Utah Jazz
377,Indiana Pacers,San Antonio Spurs
378,San Antonio Spurs,Indiana Pacers
379,Dallas Mavericks,Chicago Bulls
380,Chicago Bulls,Dallas Mavericks
381,Dallas Mavericks,Minnesota Timberwolves
382,Minnesota Timberwolves,Dallas Mavericks
383,Los Angeles Lakers,New Orleans Pelicans
384,New Orleans Pelicans,Los Angeles Lakers
385,Washington Wizards,Golden State Warriors
386,Golden State Warriors,Washington Wizards
387,Milwaukee Bucks,Charlotte Hornets
388,Charlotte Hornets,Milwaukee Bucks
389,Detroit Pistons,Sacramento Kings
390,Sacramento Kings,Detroit Pistons
391,Philadelphia 76ers,Los Angeles Clippers
392,Los Angeles Clippers,Philadelphia 76ers
393,Orlando Magic,San Antonio Spurs
394,San Antonio Spurs,Orlando Magic
395,Brooklyn Nets,Miami Heat
396,Miami Heat,Brooklyn Nets
397,Portland Trail Blazers,Atlanta Hawks
398,Atlanta Hawks,Portland Trail Blazers
399,Chicago Bulls,New York Knicks
400,New York Knicks,Chicago Bulls
401,Golden State Warriors,Phoenix Suns
402,Phoenix Suns,Golden State Warriors
403,Los Angeles Lakers,Memphis Grizzlies
404,Memphis Grizzlies,Los Angeles Lakers
405,Houston Rockets,Boston Celtics
406,Boston Celtics,Houston Rockets
407,Sacramento Kings,Memphis Grizzlies
408,Memphis Grizzlies,Sacramento Kings
